"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\hotel-table-toolbar.tsx", "TypeScript JSX", 30, 0, 0, 1, 3, 34
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\hotelsview.tsx", "TypeScript JSX", 122, 0, 0, 1, 21, 144
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\table-empty-rows.tsx", "TypeScript JSX", 18, 0, 0, 1, 4, 23
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\table-no-data.tsx", "TypeScript JSX", 26, 0, 0, 1, 3, 30
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\hotels\utils.ts", "TypeScript", 0, 49, 0, 0, 8, 57
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\signin\signinview.tsx", "TypeScript JSX", 127, 0, 0, 2, 13, 142
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\users\detail-form.tsx", "TypeScript JSX", 220, 0, 0, 0, 11, 231
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\users\table-empty-rows.tsx", "TypeScript JSX", 18, 0, 0, 1, 4, 23
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\users\table-no-data.tsx", "TypeScript JSX", 26, 0, 0, 1, 3, 30
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\users\user-table-head.tsx", "TypeScript JSX", 45, 0, 0, 1, 5, 51
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\users\user-table-row.tsx", "TypeScript JSX", 47, 0, 0, 0, 5, 52
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\users\user-table-toolbar.tsx", "TypeScript JSX", 30, 0, 0, 1, 3, 34
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\users\usersview.tsx", "TypeScript JSX", 117, 0, 0, 0, 11, 128
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\sections\users\utils.ts", "TypeScript", 0, 49, 0, 0, 8, 57
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\setupTests.ts", "TypeScript", 0, 1, 0, 4, 1, 6
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\theme\css.tsx", "TypeScript JSX", 130, 0, 0, 6, 17, 153
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\theme\custom-shadows.ts", "TypeScript", 0, 23, 0, 3, 5, 31
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\theme\index.tsx", "TypeScript JSX", 28, 0, 0, 1, 6, 35
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\theme\overrides.tsx", "TypeScript JSX", 143, 0, 0, 1, 3, 147
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\theme\palette.ts", "TypeScript", 0, 106, 0, 3, 15, 124
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\theme\shadows.ts", "TypeScript", 0, 34, 0, 1, 5, 40
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\theme\typography.ts", "TypeScript", 0, 99, 0, 2, 7, 108
"c:\Users\ASUS\OneDrive\Máy tính\DATN_Admin_FE\src\utils\index.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"Total", "-", 2529, 730, 46, 119, 405, 3829
